"project";"species";"description"
"CE-PSY (IF)";"Human";"FACE-SZ"
"BIOFACE-PSY";"Human";"FACE-BD and FACE-DR"
"I-GIVE";"Human";""
"I-GIVE_Manon suicide";"Human";""
"Julie suicide";"Human";""
"Estelle SN";"Human";""
"CANDY_MOUSE";"Mouse";""
"AIMS-2-TRIALS";"Human";""
"PerMEdSchiz";"Human";""
"CANDY_Human";"Human";""
"FACE-ASD";"Human";""
"I-GIVE-Plus";"Human";""
"InFoR BGI Roche";"Human";""
"CANDY_MOUSE (serum)";"Mouse";"Two-hit study model (Shank3 KO mice and inflammation) (ASD-like model) from Ekaterina ATANASOVA (UlmÂ , Germany)"