"project_name";"species";"assay_name";"assay_type";"sample_type"
"CE-PSY (IF)";"Human";"V-PLEX Cytokine P1";"MSD";"Serum"
"CE-PSY (IF)";"Human";"V-PLEX Proinfammatory P1";"MSD";"Serum"
"CE-PSY (IF)";"Human";"V-PLEX Vascular Injury P2";"MSD";"Serum"
"CE-PSY (IF)";"Human";"V-PLEX Chemokine P1";"MSD";"Serum"
"CE-PSY (IF)";"Human";"V-PLEX Th17 P1";"MSD";"Serum"
"CE-PSY (IF)";"Human";"U-PLEX BDNF";"MSD";"Serum"
"CE-PSY (IF)";"Human";"R-PLEX BAFF-R";"MSD";"Serum"
"CE-PSY (IF)";"Human";"R-PLEX Calprotectin";"MSD";"Plasma (EDTA)"
"CE-PSY (IF)";"Human";"R-PLEX PD-L2";"MSD";"Serum"
"CE-PSY (IF)";"Human";"R-PLEX PD1";"MSD";"Serum"
"CE-PSY (IF)";"Human";"ELISA B2M";"ELISA";"Serum"
"CE-PSY (IF)";"Human";"ELISA BAFF";"ELISA";"Serum"
"CE-PSY (IF)";"Human";"ELISA HLA-E";"ELISA";"Serum"
"BIOFACE-PSY";"Human";"V-PLEX Cytokine P1";"MSD";"Serum"
"BIOFACE-PSY";"Human";"V-PLEX Proinfammatory P1";"MSD";"Serum"
"BIOFACE-PSY";"Human";"V-PLEX Vascular Injury P2";"MSD";"Serum"
"BIOFACE-PSY";"Human";"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)";"MSD";"Serum"
"BIOFACE-PSY";"Human";"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)";"MSD";"Serum"
"BIOFACE-PSY";"Human";"R-PLEX IL-6R";"MSD";"Serum"
"BIOFACE-PSY";"Human";"ELISA B2M";"ELISA";"Serum"
"BIOFACE-PSY";"Human";"ELISA BAFF";"ELISA";"Serum"
"BIOFACE-PSY";"Human";"ELISA HLA-E";"ELISA";"Serum"
"BIOFACE-PSY";"Human";"ELISA ApoE";"ELISA";"Serum"
"BIOFACE-PSY";"Human";"ELISA S100B";"ELISA";"Serum"
"EU-AIMS";"Human";"V-PLEX Cytokine P1";"MSD";"Plasma (EDTA)"
"EU-AIMS";"Human";"V-PLEX Proinfammatory P1";"MSD";"Plasma (EDTA)"
"CANDY_MOUSE";"Mouse";"V-PLEX Proinfammatory P1 Mouse";"MSD";"Plasma (EDTA)"
"CANDY_MOUSE (serum)";"Mouse";"V-PLEX Proinfammatory P1 Mouse";"MSD";"Serum"
"Julie suicide";"Human";"V-PLEX Cytokine P1";"MSD";"Serum"
"Julie suicide";"Human";"V-PLEX Proinfammatory P1";"MSD";"Serum"
"Julie suicide";"Human";"V-PLEX CRP";"MSD";"Serum"
"Julie suicide";"Human";"V-PLEX LBP";"MSD";"Plasma (EDTA)"
"Julie suicide";"Human";"ELISA ApoE";"ELISA";"Serum"
"Julie suicide";"Human";"ELISA S100B";"ELISA";"Serum"
"Julie suicide";"Human";"ELISA CD14";"ELISA";"Plasma (EDTA)"
"Julie suicide";"Human";"ELISA IFABP";"ELISA";"Plasma (EDTA)"
"Julie suicide";"Human";"ELISA Zonulin";"ELISA";"Plasma (EDTA)"
"Julie suicide";"Human";"ELISA LPS";"ELISA";"Plasma (EDTA)"